Level,Patch,Accuracy,AUC
3,Corner_TL,0.9861,0.9989494499999999
3,Corner_TR,0.98755,0.99918493
3,Corner_BL,0.97715,0.9974555199999999
3,Corner_BR,0.978,0.9976683949999999
3,Center_TL,0.96815,0.9951882000000002
3,Center_TR,0.96545,0.9942152400000001
3,Center_BL,0.97725,0.99780132
3,Center_BR,0.97915,0.99803046
7,Corner_TL,0.99635,0.9999293399999999
7,Corner_TR,0.996,0.99991538
7,Corner_BL,0.9931,0.99968587
7,Corner_BR,0.9917,0.99966363
7,Center_TL,0.98085,0.998332655
7,Center_TR,0.97925,0.998037055
7,Center_BL,0.98105,0.9984571250000001
7,Center_BR,0.98415,0.99872495
11,Corner_TL,0.99605,0.9998936399999999
11,Corner_TR,0.9967,0.9999106900000001
11,Corner_BL,0.9922,0.99964368
11,Corner_BR,0.99205,0.99968375
11,Center_TL,0.9728,0.99667097
11,Center_TR,0.97355,0.9969775200000001
11,Center_BL,0.9751,0.9975627400000001
11,Center_BR,0.976,0.9975782250000002
15,Corner_TL,0.9883,0.99924073
15,Corner_TR,0.98985,0.9994568099999999
15,Corner_BL,0.9795,0.9977786599999998
15,Corner_BR,0.97795,0.9976587100000001
15,Center_TL,0.961,0.9938162500000001
15,Center_TR,0.95895,0.9931817999999999
15,Center_BL,0.9689,0.99590944
15,Center_BR,0.967,0.9951866300000001
19,Corner_TL,0.98825,0.99918619
19,Corner_TR,0.9912,0.99959294
19,Corner_BL,0.98325,0.99842829
19,Corner_BR,0.98095,0.99782433
19,Center_TL,0.95845,0.99322746
19,Center_TR,0.95555,0.9926560199999999
19,Center_BL,0.963,0.9942595200000002
19,Center_BR,0.95805,0.9915934699999999
23,Corner_TL,0.9945,0.99986543
23,Corner_TR,0.99535,0.9998904599999999
23,Corner_BL,0.9929,0.99974455
23,Corner_BR,0.9914,0.99964396
23,Center_TL,0.98625,0.99904848
23,Center_TR,0.9849,0.9990394950000001
23,Center_BL,0.98705,0.9991935899999999
23,Center_BR,0.98695,0.999167045
