Level,Patch,Accuracy,AUC
3,Corner_TL,0.88425,0.9545045649999999
3,Corner_TR,0.88505,0.9546038099999999
3,Corner_BL,0.8579,0.9325443200000001
3,Corner_BR,0.85165,0.93117263
3,Center_TL,0.967,0.9946277
3,Center_TR,0.96435,0.99471467
3,Center_BL,0.96945,0.9952897850000001
3,Center_BR,0.96305,0.99384917
7,Corner_TL,0.94945,0.9889991900000001
7,Corner_TR,0.94885,0.9889829600000001
7,Corner_BL,0.92565,0.97930407
7,Corner_BR,0.92555,0.978844235
7,Center_TL,0.9824,0.9982887399999999
7,Center_TR,0.9821,0.9979833100000002
7,Center_BL,0.9806,0.9979468699999999
7,Center_BR,0.9776,0.9972926499999999
11,Corner_TL,0.9534,0.9902451300000001
11,Corner_TR,0.9526,0.990367235
11,Corner_BL,0.9431,0.9871555499999999
11,Corner_BR,0.9482,0.98807722
11,Center_TL,0.98075,0.998359665
11,Center_TR,0.9805,0.99784143
11,Center_BL,0.9769,0.99753422
11,Center_BR,0.9746,0.9972371599999998
15,Corner_TL,0.93415,0.9824518050000001
15,Corner_TR,0.9365,0.9829520149999998
15,Corner_BL,0.9269,0.97886884
15,Corner_BR,0.93385,0.98216584
15,Center_TL,0.9753,0.99674562
15,Center_TR,0.97455,0.9966251300000002
15,Center_BL,0.97055,0.99611272
15,Center_BR,0.96805,0.9959038750000001
19,Corner_TL,0.9544,0.9914617299999999
19,Corner_TR,0.9616,0.992360405
19,Corner_BL,0.94605,0.987644295
19,Corner_BR,0.94985,0.9885558200000001
19,Center_TL,0.9716,0.9954489100000001
19,Center_TR,0.97125,0.9957217399999999
19,Center_BL,0.96455,0.99482884
19,Center_BR,0.9615,0.9937729500000001
23,Corner_TL,0.98205,0.9983768
23,Corner_TR,0.9845,0.99865958
23,Corner_BL,0.9771,0.99771255
23,Corner_BR,0.9796,0.9979790850000001
23,Center_TL,0.98435,0.9989351100000001
23,Center_TR,0.98575,0.9987834
23,Center_BL,0.98445,0.9988296199999999
23,Center_BR,0.9823,0.9984323800000001
