Level,Patch,Accuracy,AUC
3,Corner_TL,0.98595,0.9989486900000001
3,Corner_TR,0.98745,0.9991826400000001
3,Corner_BL,0.9768,0.9974221700000001
3,Corner_BR,0.9779,0.9976651799999999
3,Center_TL,0.96815,0.99518444
3,Center_TR,0.96465,0.9942277999999999
3,Center_BL,0.9766,0.9978040499999999
3,Center_BR,0.9794,0.99802583
7,Corner_TL,0.99625,0.9999293099999998
7,Corner_TR,0.9957,0.99991473
7,Corner_BL,0.993,0.9996813099999999
7,Corner_BR,0.9915,0.9996644700000001
7,Center_TL,0.98075,0.99832684
7,Center_TR,0.97915,0.99804088
7,Center_BL,0.9813,0.9984580500000001
7,Center_BR,0.98345,0.9987222699999999
11,Corner_TL,0.9959,0.9998926800000001
11,Corner_TR,0.9966,0.99991158
11,Corner_BL,0.99215,0.99964811
11,Corner_BR,0.99225,0.9996843400000001
11,Center_TL,0.9731,0.99669414
11,Center_TR,0.97365,0.99701482
11,Center_BL,0.97465,0.99756629
11,Center_BR,0.97615,0.99759762
15,Corner_TL,0.98855,0.9992369799999999
15,Corner_TR,0.99,0.99945756
15,Corner_BL,0.9796,0.9977695400000001
15,Corner_BR,0.97805,0.9976530900000001
15,Center_TL,0.9616,0.99386841
15,Center_TR,0.95985,0.9933073499999999
15,Center_BL,0.96905,0.99588554
15,Center_BR,0.96725,0.99522939
19,Corner_TL,0.98825,0.9991850500000001
19,Corner_TR,0.99125,0.99959115
19,Corner_BL,0.9834,0.9984339100000001
19,Corner_BR,0.98135,0.997815405
19,Center_TL,0.9582,0.99330341
19,Center_TR,0.9558,0.992698035
19,Center_BL,0.96455,0.9942576099999999
19,Center_BR,0.95785,0.9915513600000001
23,Corner_TL,0.9945,0.9998657300000001
23,Corner_TR,0.9952,0.9998906800000001
23,Corner_BL,0.99295,0.99974356
23,Corner_BR,0.99155,0.9996424399999999
23,Center_TL,0.98655,0.9990465099999999
23,Center_TR,0.98455,0.9990467500000001
23,Center_BL,0.9869,0.9991800600000001
23,Center_BR,0.987,0.99917561
