Level,Patch,Accuracy,AUC
3,Corner_TL,0.96515,0.99389927
3,Corner_TR,0.94995,0.9880138500000001
3,Corner_BL,0.92065,0.9750304200000001
3,Corner_BR,0.91805,0.97537206
3,Center_TL,0.941,0.9850522
3,Center_TR,0.94685,0.98701466
3,Center_BL,0.98345,0.9984771899999999
3,Center_BR,0.9757,0.9965633800000001
7,Corner_TL,0.9786,0.9978221200000001
7,Corner_TR,0.9775,0.99759261
7,Corner_BL,0.96305,0.9939711099999998
7,Corner_BR,0.95965,0.9932121100000001
7,Center_TL,0.961,0.9932424449999999
7,Center_TR,0.9598,0.9922096200000001
7,Center_BL,0.98095,0.99810734
7,Center_BR,0.97585,0.9967160200000001
11,Corner_TL,0.98355,0.998813935
11,Corner_TR,0.9841,0.99875974
11,Corner_BL,0.97155,0.99639493
11,Corner_BR,0.97165,0.99636497
11,Center_TL,0.9598,0.9932350700000001
11,Center_TR,0.95645,0.99250247
11,Center_BL,0.97285,0.9965391299999999
11,Center_BR,0.96915,0.99528482
15,Corner_TL,0.972,0.99576138
15,Corner_TR,0.97455,0.996698805
15,Corner_BL,0.94465,0.9874936650000001
15,Corner_BR,0.95055,0.98870707
15,Center_TL,0.9492,0.9899278499999999
15,Center_TR,0.9508,0.98883291
15,Center_BL,0.96595,0.9943585
15,Center_BR,0.95775,0.9915853950000001
19,Corner_TL,0.9757,0.99661166
19,Corner_TR,0.97795,0.99737051
19,Corner_BL,0.9509,0.9895673749999999
19,Corner_BR,0.9573,0.991815305
19,Center_TL,0.9486,0.9887576650000001
19,Center_TR,0.9474,0.9879247350000001
19,Center_BL,0.95975,0.9919788900000001
19,Center_BR,0.9454,0.98698374
23,Corner_TL,0.9862,0.99894071
23,Corner_TR,0.9875,0.99920829
23,Corner_BL,0.9799,0.99796516
23,Corner_BR,0.9814,0.99817152
23,Center_TL,0.97905,0.9978474400000001
23,Center_TR,0.9786,0.99743733
23,Center_BL,0.9829,0.99811956
23,Center_BR,0.9786,0.99795313
