Level,Patch,Accuracy,AUC
3,Corner_TL,0.986,0.9989509999999999
3,Corner_TR,0.98755,0.99918065
3,Corner_BL,0.9767,0.9974295400000001
3,Corner_BR,0.9778,0.99766552
3,Center_TL,0.9686,0.99519149
3,Center_TR,0.96415,0.9942254
3,Center_BL,0.9766,0.9977986099999999
3,Center_BR,0.9792,0.99802983
7,Corner_TL,0.9963,0.9999290700000001
7,Corner_TR,0.99595,0.99991477
7,Corner_BL,0.99305,0.99968461
7,Corner_BR,0.99195,0.9996638600000001
7,Center_TL,0.98105,0.9983360400000001
7,Center_TR,0.97895,0.99805156
7,Center_BL,0.98095,0.99845914
7,Center_BR,0.98415,0.99874013
11,Corner_TL,0.99595,0.9998936500000001
11,Corner_TR,0.9966,0.99990914
11,Corner_BL,0.9921,0.99964322
11,Corner_BR,0.99225,0.9996828
11,Center_TL,0.9729,0.99668345
11,Center_TR,0.97375,0.99697928
11,Center_BL,0.97455,0.9975297399999999
11,Center_BR,0.9764,0.9975586799999999
15,Corner_TL,0.98855,0.99923481
15,Corner_TR,0.99,0.9994629399999999
15,Corner_BL,0.97935,0.99776353
15,Corner_BR,0.97795,0.99763875
15,Center_TL,0.9614,0.9938414799999999
15,Center_TR,0.95925,0.9933026199999999
15,Center_BL,0.96855,0.9959323300000001
15,Center_BR,0.9667,0.99518803
19,Corner_TL,0.9881,0.9991859700000001
19,Corner_TR,0.99115,0.9995838800000002
19,Corner_BL,0.98335,0.9984242900000001
19,Corner_BR,0.98095,0.9978189300000001
19,Center_TL,0.95885,0.993341785
19,Center_TR,0.9573,0.9928252700000002
19,Center_BL,0.9635,0.99431975
19,Center_BR,0.9579,0.991715505
23,Corner_TL,0.99445,0.99986624
23,Corner_TR,0.9954,0.9998909300000001
23,Corner_BL,0.9928,0.9997443400000001
23,Corner_BR,0.99135,0.99964141
23,Center_TL,0.9861,0.99903617
23,Center_TR,0.98435,0.99904182
23,Center_BL,0.9874,0.9991958299999999
23,Center_BR,0.98685,0.99917461
