Level,Patch,Accuracy,AUC
3,Corner_TL,0.96515,0.9938951199999999
3,Corner_TR,0.9502,0.9880219049999999
3,Corner_BL,0.921,0.9749233250000001
3,Corner_BR,0.91805,0.97530191
3,Center_TL,0.94105,0.9850576600000001
3,Center_TR,0.9473,0.9870370900000001
3,Center_BL,0.98345,0.998475005
3,Center_BR,0.9756,0.99655449
7,Corner_TL,0.9786,0.99783571
7,Corner_TR,0.9774,0.9976060449999999
7,Corner_BL,0.9625,0.99394695
7,Corner_BR,0.9599,0.9932238850000001
7,Center_TL,0.961,0.993245035
7,Center_TR,0.95965,0.992171
7,Center_BL,0.9813,0.9981075300000001
7,Center_BR,0.97575,0.9967047
11,Corner_TL,0.98385,0.9988276600000001
11,Corner_TR,0.9846,0.99875881
11,Corner_BL,0.9717,0.99637925
11,Corner_BR,0.97185,0.9963765899999999
11,Center_TL,0.95875,0.99315631
11,Center_TR,0.95625,0.9924701199999999
11,Center_BL,0.9728,0.99651166
11,Center_BR,0.9679,0.9952508700000001
15,Corner_TL,0.97195,0.9957706449999999
15,Corner_TR,0.9745,0.99669864
15,Corner_BL,0.9447,0.9875040300000001
15,Corner_BR,0.95135,0.988703085
15,Center_TL,0.94975,0.98995092
15,Center_TR,0.9513,0.9889389100000001
15,Center_BL,0.9661,0.99439351
15,Center_BR,0.9581,0.9915951599999999
19,Corner_TL,0.975,0.99663129
19,Corner_TR,0.9779,0.9973865499999999
19,Corner_BL,0.9508,0.98958838
19,Corner_BR,0.9576,0.99180604
19,Center_TL,0.94815,0.98870161
19,Center_TR,0.9464,0.9877949650000001
19,Center_BL,0.95905,0.99195107
19,Center_BR,0.94545,0.9869756599999999
23,Corner_TL,0.98615,0.99893902
23,Corner_TR,0.98745,0.9992096899999999
23,Corner_BL,0.97975,0.9979624099999999
23,Corner_BR,0.98135,0.99818472
23,Center_TL,0.9794,0.9978544500000001
23,Center_TR,0.97865,0.9974473300000001
23,Center_BL,0.98285,0.99813162
23,Center_BR,0.9781,0.9979780699999999
